bad, 238.021704097
stupid, 114.442216051
dull, 59.4154930816
live, 56.0534498553
flat, 54.0062584557
much, 53.957520246
more, 52.8898114065
love, 51.7457227715
generic, 48.4479596775
best, 46.5559155455
refresh, 46.1194368106
presid, 44.7114192065
tedious, 44.1004230908
think, 40.8465822117
am, 40.4478398406
solid, 40.1218862861
instead, 36.1155303576
quiet, 35.540429589
win, 35.4862489538
fuck, 35.1069047244
worst, 34.1473047915
agre, 32.9434692634
seem, 32.2695942842
moron, 31.672240419
right, 29.1197478987
touch, 28.6385063708
rather, 28.1717665058
seagal, 27.9450610353
spi, 27.9450610353
got, 27.0090002799
great, 26.7154137438
obvious, 26.4988549687
legal, 25.9104293166
rich, 25.8232652942
poor, 25.4720724217
bore, 25.4626680142
less, 24.8729936575
like, 24.5723713926
exercis, 24.5394691147
soul, 24.4604428407
vivid, 24.4604428407
now, 22.6569462199
vote, 22.3499226804
confid, 22.3499226804
use, 21.9067362035
wed, 21.7965283968
glorious, 21.4806248314
are, 21.1662427762
american, 20.8626709262
amateurish, 20.7521017945
dumb, 20.7521017945
devoid, 20.7521017945
fit, 19.8614675531
republican, 19.780373437
pick, 19.7208596003
everyon, 19.7208596003
beat, 19.7208596003
do, 19.5797860688
pull, 19.4566860881
long, 19.0325321468
plain, 18.9269019297
still, 18.5144364596
polish, 18.1481925132
poignant, 17.782978354
delic, 17.7652861992
later, 17.7652861992
virtual, 17.685932368
save, 17.5170403182
titl, 17.5102858064
weak, 17.5102858064
cultur, 17.1838644612
ll, 16.9952233045
silli, 16.7651766825
uneven, 16.3572261
lack, 16.3393045595
m, 16.2582712583
give, 16.125105009
clever, 16.1069047244
on, 16.0604500962
banal, 16.0122442634
noth, 15.9548386186
sit, 15.9068596675
current, 15.7693502078
born, 15.7693502078
sexual, 15.1109087805
roger, 15.0356034297
eect, 15.0356034297
pass, 14.62745916
disgust, 14.62745916
overal, 14.6248156345
low, 14.6143904558
hard, 14.529299364
blow, 14.4638133808
promis, 14.3597044213
brilliant, 14.3515045687
abl, 13.9865018028
sign, 13.9849237164
candid, 13.9849237164
emerg, 13.9849237164
nowher, 13.4933269296
particular, 13.3077379039
listen, 13.1653264659
almost, 13.1432919636
surviv, 13.0390997292
lacklust, 13.0390997292
rollerbal, 13.0390997292
plod, 13.0390997292
uninspir, 13.0390997292
stiff, 13.0390997292
vapid, 13.0390997292
routin, 13.0390997292
surpris, 12.9989800699
littl, 12.9245204419
gone, 12.9245204419
retard, 12.9168329156
shallow, 12.9168329156
idiot, 12.9168329156
destroy, 12.8874218282
flaw, 12.8874218282
iran, 12.8874218282
move, 12.8742298726
alway, 12.8567721596
kill, 12.8567721596
special, 12.7979565168
provid, 12.6730435491
made, 12.595572213
perfect, 12.1671231207
know, 11.9500045898
wide, 11.9256589011
realli, 11.9185736773
enough, 11.7579582641
bitch, 11.7030786456
suspect, 11.7030786456
fatal, 11.7030786456
absurd, 11.7030786456
bring, 11.5064154506
thought, 11.5064154506
becaus, 11.4286229645
gorgeous, 11.3294548974
help, 11.3294548974
public, 11.3294548974
thin, 11.2367009832
sustain, 11.2367009832
mani, 11.1963467924
unpleas, 11.1761645786
downright, 11.1761645786
sluggish, 11.1761645786
bland, 11.1761645786
florid, 11.1761645786
fall, 11.1338790219
go, 11.0132030747
first, 10.9863634713
say, 10.7695753091
wast, 10.7546493408
politician, 10.7393196521
spare, 10.7393196521
haunt, 10.7393196521
russian, 10.7393196521
encourag, 10.7393196521
increas, 10.7393196521
risk, 10.7393196521
corrupt, 10.7393196521
return, 10.7393196521
bought, 10.7393196521
celtic, 10.7393196521
mere, 10.6442209217
sens, 10.616647409
as, 10.6050319437
rememb, 10.5884831154
black, 10.0524029179
took, 10.0028674787
whi, 10.0028674787
basebal, 9.94846364846
heaven, 9.94846364846
meant, 9.92908137766
chaotic, 9.92908137766
loud, 9.92908137766
skip, 9.92908137766
lame, 9.92908137766
produc, 9.92908137766
arrest, 9.88872394362
gradual, 9.88872394362
reward, 9.88872394362
complex, 9.83507958318
said, 9.69100526339
exist, 9.57207429036
comed, 9.57207429036
dramat, 9.57207429036
generat, 9.57113313192
allow, 9.46894855596
dead, 9.45044946351
claus, 9.31329830705
merit, 9.31329830705
dubious, 9.31329830705
eager, 9.31329830705
materi, 9.31329830705
disast, 9.31329830705
smoochi, 9.31329830705
kung, 9.31329830705
harvard, 9.31329830705
comedian, 9.31329830705
incoher, 9.31329830705
obscur, 9.31329830705
rental, 9.31329830705
younger, 9.31329830705
flaccid, 9.31329830705
rent, 9.31329830705
smart, 9.31329830705
leaden, 9.31329830705
insipid, 9.31329830705
sharp, 9.19837446275
affect, 9.19419550604
never, 9.07359803997
let, 9.04503976003
mean, 9.04503976003
hope, 9.02840987562
wild, 8.64076068758
left, 8.63847802121
fetish, 8.59129689711
acknowledg, 8.59129689711
al, 8.59129689711
hugh, 8.59129689711
educ, 8.59129689711
un, 8.59129689711
truth, 8.59129689711
decept, 8.59129689711
brave, 8.59129689711
arent, 8.59129689711
embrac, 8.59129689711
capabl, 8.59129689711
success, 8.59129689711
joyous, 8.59129689711
orang, 8.59129689711
jean, 8.59129689711
insist, 8.59129689711
senat, 8.59129689711
paradiso, 8.59129689711
quaid, 8.59129689711
stimul, 8.59129689711
ethnic, 8.59129689711
rapid, 8.59129689711
past, 8.58593216033
crush, 8.58121048833
accomplish, 8.58121048833
stop, 8.38332953816
polic, 8.30930045304
also, 8.21555939984
pedestrian, 8.17740341967
funnier, 8.17740341967
indic, 8.17740341967
evid, 8.17740341967
